Date,Close,Open,High,Low,Volume,Change
29-07-2020,11202.85,11276.90,11341.40,11149.75,600.73M,-0.86%
28-07-2020,11300.55,11154.10,11317.75,11151.40,683.89M,+1.52%
27-07-2020,11131.80,11225.00,11225.00,11087.85,588.15M,-0.56%
24-07-2020,11194.15,11149.95,11225.40,11090.30,678.93M,-0.19%
23-07-2020,11215.45,11135.00,11239.80,11103.15,621.57M,+0.74%
22-07-2020,11132.60,11231.20,11238.10,11056.55,765.07M,-0.27%
21-07-2020,11162.25,11126.10,11179.55,11113.25,772.00M,+1.27%
20-07-2020,11022.20,10999.45,11037.90,10953.00,554.31M,+1.11%
17-07-2020,10901.70,10752.00,10933.45,10749.65,676.88M,+1.51%
16-07-2020,10739.95,10706.20,10755.30,10595.20,694.40M,+1.15%
15-07-2020,10618.20,10701.00,10827.45,10577.75,715.90M,+0.10%
14-07-2020,10607.35,10750.85,10755.65,10562.90,532.37M,-1.81%
13-07-2020,10802.70,10851.85,10894.05,10756.05,554.05M,+0.32%
10-07-2020,10768.05,10764.10,10819.40,10713.00,590.71M,-0.42%
09-07-2020,10813.45,10755.55,10836.85,10733.00,618.65M,+1.01%
08-07-2020,10705.75,10818.65,10847.85,10676.55,767.94M,-0.87%
07-07-2020,10799.65,10802.85,10813.80,10689.70,636.76M,+0.33%
06-07-2020,10763.65,10723.85,10811.40,10695.10,571.21M,+1.47%
03-07-2020,10607.35,10614.95,10631.30,10562.65,525.19M,+0.53%
02-07-2020,10551.70,10493.05,10598.20,10485.55,597.42M,+1.17%
01-07-2020,10430.05,10323.80,10447.05,10299.60,573.55M,+1.24%
30-06-2020,10302.10,10382.60,10401.05,10267.35,556.24M,-0.10%
29-06-2020,10312.40,10311.95,10337.95,10223.60,574.54M,-0.68%
26-06-2020,10383.00,10378.90,10409.85,10311.25,671.91M,+0.91%
25-06-2020,10288.90,10235.55,10361.80,10194.50,994.19M,-0.16%
24-06-2020,10305.30,10529.25,10553.15,10281.95,854.80M,-1.58%
23-06-2020,10471.00,10347.95,10484.70,10301.75,669.20M,+1.55%
